Geo_STUSAB,Geo_QName,total_population,population_density,area
al,Alabama,4903185,96.81175911,50646.58514
ak,Alaska,731545,1.281202323,570983.1983
az,Arizona,7278717,64.07846054,113590.6971
ar,Arkansas,3017804,57.99615432,52034.55359
ca,California,39512223,253.6187962,155793.7487
co,Colorado,5758736,55.56551889,103638.6614
ct,Connecticut,3565287,736.2210824,4842.685282
de,Delaware,973764,499.8165115,1948.24296
dc,District of Columbia,705749,11544.0003,61.13556665
fl,Florida,21477737,400.3413349,53648.56219
ga,Georgia,10617423,183.9618804,57715.34287
hi,Hawaii,1415872,220.4577169,6422.419773
id,Idaho,1787065,21.62336641,82645.08708
il,Illinois,12671821,228.2635714,55513.98728
in,Indiana,6732219,187.9135438,35826.15103
ia,Iowa,3155070,56.48777756,55854.02961
ks,Kansas,2913314,35.63285757,81759.202
ky,Kentucky,4467673,113.1333344,39490.33258
la,Louisiana,4648794,107.6012493,43203.90357
me,Maine,1344212,43.57998679,30844.70875
md,Maryland,6045680,622.5667296,9710.894772
ma,Massachusetts,6892503,883.5134404,7801.242952
mi,Michigan,9986857,176.4370522,56602.94635
mn,Minnesota,5639632,70.82700766,79625.44496
ms,Mississippi,2976149,63.42439579,46924.35715
mo,Missouri,6137428,89.2771276,68745.80494
mt,Montana,1068778,7.343224858,145546.1355
ne,Nebraska,1934408,25.18183325,76817.60023
nv,Nevada,3080156,28.05747145,109780.2418
nh,New Hampshire,1359711,151.8639147,8953.483139
nj,New Jersey,8882190,1207.737105,7354.406819
nm,New Mexico,2096829,17.28461482,121311.8731
ny,New York,19453561,412.8213031,47123.44265
nc,North Carolina,10488084,215.7180996,48619.39734
nd,North Dakota,762062,11.04447831,68999.36592
oh,Ohio,11689100,286.0715095,40860.76247
ok,Oklahoma,3956971,57.68512351,68596.03931
or,Oregon,4217737,43.94038897,95987.70285
pa,Pennsylvania,12801989,286.1212207,44743.23495
ri,Rhode Island,1059361,1024.629473,1033.89667
sc,South Carolina,5148714,171.2595048,30063.8146
sd,South Dakota,884659,11.66942378,75809.99854
tn,Tennessee,6829174,165.6088712,41236.76436
tx,Texas,28995881,110.9859336,261257.2609
ut,Utah,3205958,39.00389869,82195.83446
vt,Vermont,623989,67.69339773,9217.870884
va,Virginia,8535519,216.1880126,39481.92546
wa,Washington,7614893,114.5905779,66453.04646
wv,West Virginia,1792147,74.54475722,24041.22123
wi,Wisconsin,5822434,107.491844,54166.28634
wy,Wyoming,578759,5.961136951,97088.69377
pr,Puerto Rico,3193694,932.6560346,3424.299937
